sale_id,dealership_id,sale_date,model,model_year,car_type,production_cost,sale_price,discount_applied
1,10,9/13/2024,RS5,2024,Gas,78964.12,112805.88,0
2,6,4/18/2024,Q7,2024,Gas,50966.82,72809.75,0
3,8,12/5/2022,Q6 e-tron,2024,Electric,77933.21,111333.16,0
4,3,11/18/2022,Q7,2023,Gas,48576.52,69395.03,0
5,5,9/25/2023,A3,2024,Gas,24584.13,35120.19,0
6,4,1/17/2024,RS5,2023,Gas,66007.47,94296.38,0
7,3,6/7/2024,Q4 e-tron,2023,Electric,40808.12,58297.32,0
8,4,3/18/2023,Q8,2024,Hybrid,63078.03,90111.47,0
9,2,3/28/2024,TT,2023,Gas,41174.46,58820.66,0
10,9,1/19/2024,TT,2023,Gas,50657.18,72367.4,0
11,1,8/27/2024,RS5,2024,Gas,82463.77,117805.39,0
12,3,7/7/2024,Q7,2023,Gas,53745.65,76779.5,0
13,1,11/10/2023,A4,2024,Gas,35813.63,51162.33,0
14,3,12/27/2024,e-tron GT,2022,Electric,99787.75,142553.93,4987.35
15,4,2/14/2024,A3,2022,Gas,47930.29,68471.84,0
16,5,11/29/2023,A4,2024,Gas,33303.65,47576.64,0
17,2,4/16/2023,Q4 e-tron,2023,Electric,47535.26,67907.52,0
18,4,5/11/2022,Q8,2024,Hybrid,65261.84,93231.2,0
19,1,12/8/2023,RS5,2024,Gas,57389.78,81985.4,0
20,10,5/2/2022,e-tron GT,2022,Electric,77007.09,110010.13,0
21,10,10/31/2023,Q8 e-tron,2022,Electric,76940.23,109914.61,0
22,2,6/13/2022,Q5,2022,Gas,40205.56,57436.52,0
23,3,5/20/2023,A4,2024,Gas,32163.12,45947.31,0
24,6,5/6/2024,Q7,2023,Gas,58473.45,83533.5,0
25,8,11/12/2024,Q6 e-tron,2024,Electric,64847.22,92638.88,0
26,3,1/14/2022,A4,2023,Gas,45429.38,64899.12,0
27,5,9/17/2023,A4,2024,Gas,50685.64,72408.05,0
28,4,9/23/2022,A4,2024,Gas,31732.17,45331.67,0
29,7,12/20/2024,Q7,2022,Gas,64143.39,91633.42,0
30,2,3/2/2024,e-tron GT,2024,Electric,95024.71,135749.58,0
31,9,1/21/2024,A4,2023,Gas,44807.81,64011.16,0
32,6,9/21/2022,Q7,2023,Gas,62428.18,89183.12,0
33,7,12/26/2022,TT,2023,Gas,56560.9,80801.29,0
34,3,11/20/2023,Q7,2023,Gas,52968.04,75668.63,0
35,10,9/30/2023,Q4 e-tron,2024,Electric,49493.79,70705.42,0
36,6,6/12/2024,Q4 e-tron,2024,Electric,45546.4,65066.29,0
37,2,2/27/2023,Q8,2023,Hybrid,75268.96,107527.08,0
38,6,9/23/2022,A4,2024,Gas,37219.31,53170.45,0
39,4,11/21/2022,Q8,2022,Hybrid,75227.5,107467.86,0
40,2,5/30/2024,Q5,2024,Gas,36726.46,52466.37,0
41,1,12/5/2023,RS5,2024,Gas,58928.06,84182.95,0
42,6,5/8/2023,e-tron GT,2024,Electric,85756.71,122509.59,0
43,7,2/6/2022,A3,2024,Gas,37351.37,53359.1,0
44,1,8/15/2024,Q8,2022,Hybrid,62750.06,89642.94,0
45,7,8/23/2023,A3,2023,Gas,43699.89,62428.42,0
46,7,5/26/2024,TT,2023,Gas,44571.74,63673.91,0
47,7,6/6/2024,e-tron GT,2023,Electric,94907.06,135581.51,0
48,3,1/17/2022,Q8,2022,Hybrid,67867.38,96953.4,0
49,1,4/6/2023,Q8,2022,Hybrid,74967.57,107096.53,0
50,10,11/15/2023,TT,2024,Gas,50408.31,72011.87,0
51,7,3/9/2024,A3,2023,Gas,43366.04,61951.48,0
52,9,11/25/2023,Q5,2024,Gas,55418.15,79168.79,0
53,9,3/10/2022,Q4 e-tron,2023,Electric,40952.49,58503.56,0
54,7,10/12/2022,Q8,2022,Hybrid,78673.65,112390.93,0
55,3,2/6/2022,A4,2023,Gas,53920.73,77029.61,0
56,7,7/22/2022,A3,2023,Gas,37769.42,53956.32,0
57,10,9/30/2024,Q8,2023,Hybrid,67419.95,96314.22,0
58,8,11/9/2022,RS5,2024,Gas,80652.53,115217.9,0
59,6,11/9/2024,A4,2023,Gas,32507.02,46438.6,0
60,9,2/25/2022,Q7,2024,Gas,45980.13,65685.9,0
61,9,2/8/2024,A4,2022,Gas,52363.77,74805.38,1263.89
62,6,4/28/2022,e-tron GT,2022,Electric,81449.24,116356.05,0
63,4,7/13/2023,TT,2022,Gas,58021.93,82888.47,0
64,8,11/24/2022,Q8 e-tron,2022,Electric,78870.47,112672.1,0
65,10,12/16/2023,RS5,2023,Gas,78185.94,111694.2,0
66,4,3/21/2024,e-tron GT,2023,Electric,94446.3,134923.28,0
67,10,9/14/2023,TT,2022,Gas,57326.74,81895.34,0
68,7,4/30/2022,Q4 e-tron,2022,Electric,37517.84,53596.91,0
69,1,6/7/2023,e-tron GT,2024,Electric,86968.56,124240.8,0
70,4,12/26/2022,Q7,2022,Gas,49807.16,71153.08,0
71,5,1/30/2024,RS5,2022,Gas,55477.22,79253.17,0
72,6,1/25/2023,A4,2023,Gas,46599.31,66570.44,0
73,4,9/20/2024,A3,2023,Gas,25878.8,36969.72,0
74,9,7/11/2023,Q7,2024,Gas,52269.4,74670.57,0
75,5,6/16/2024,Q7,2023,Gas,44397.18,63424.54,0
76,10,2/13/2022,Q5,2024,Gas,39276.12,56108.74,0
77,9,3/18/2024,RS5,2023,Gas,80302.26,114717.52,0
78,2,6/14/2024,Q8,2023,Hybrid,60461,86372.86,0
79,10,1/4/2023,A3,2023,Gas,49821.51,71173.58,0
80,4,4/6/2023,Q4 e-tron,2022,Electric,54321.95,77602.79,0
81,2,7/27/2022,Q5,2024,Gas,43699.64,62428.05,0
82,2,9/12/2024,Q5,2024,Gas,43469.08,62098.68,0
83,8,10/7/2023,Q8,2023,Hybrid,65818.33,94026.18,0
84,4,8/1/2022,RS5,2023,Gas,81439.29,116341.85,0
85,6,12/3/2024,TT,2023,Gas,62042.62,88632.31,0
86,3,12/17/2022,A4,2023,Gas,36445.85,52065.5,0
87,2,8/28/2024,Q7,2024,Gas,44337.85,63339.78,0
88,3,3/26/2022,A3,2024,Gas,46652.19,66645.99,3500.87
89,3,4/13/2022,Q5,2024,Gas,42013.18,60018.83,4560.66
90,9,1/19/2023,TT,2024,Gas,64768.12,92525.89,0
91,4,3/5/2023,Q4 e-tron,2023,Electric,58737.09,83910.13,0
92,10,12/15/2023,Q8,2022,Hybrid,64907.67,92725.24,0
93,2,5/14/2024,Q6 e-tron,2022,Electric,71438.75,102055.36,0
94,3,8/19/2024,RS5,2023,Gas,56348.03,80497.18,0
95,7,1/25/2022,A4,2024,Gas,57199.2,81713.15,0
96,3,5/27/2024,TT,2024,Gas,41813.04,59732.91,0
97,9,12/15/2023,TT,2022,Gas,50379.31,71970.45,0
98,6,9/11/2024,A4,2022,Gas,29417.97,42025.67,0
99,5,11/10/2023,Q8,2022,Hybrid,69054.43,98649.19,0
100,1,3/4/2023,A3,2024,Gas,40540.26,57914.66,0
101,4,12/5/2024,Q4 e-tron,2024,Electric,57778.57,82540.81,0
102,6,12/30/2023,A3,2023,Gas,40030.03,57185.76,0
103,3,2/27/2022,Q4 e-tron,2023,Electric,50240.98,71772.83,0
104,5,12/21/2024,Q4 e-tron,2024,Electric,44257.04,63224.34,0
105,7,1/16/2023,Q8 e-tron,2024,Electric,77267.96,110382.8,0
106,3,9/16/2023,Q7,2024,Gas,45404.09,64862.99,0
107,5,5/23/2023,e-tron GT,2022,Electric,92192.66,131703.8,0
108,8,10/26/2022,A3,2024,Gas,27143.56,38776.52,0
109,5,7/27/2024,Q8,2024,Hybrid,70670.82,100958.32,0
110,6,11/30/2022,e-tron GT,2024,Electric,95140.4,135914.85,0
111,8,5/8/2023,Q8,2023,Hybrid,58290.47,83272.1,0
112,5,8/8/2024,A4,2023,Gas,38868.49,55526.42,0
113,5,6/12/2024,RS5,2022,Gas,76979.33,109970.47,0
114,10,2/28/2024,A3,2022,Gas,44627.53,63753.61,0
115,4,9/28/2022,Q7,2022,Gas,63549.26,90784.66,0
116,9,1/8/2024,Q4 e-tron,2022,Electric,61418.03,87740.05,0
117,2,8/22/2023,Q8,2023,Hybrid,65266.31,93237.58,0
118,6,7/18/2022,A3,2022,Gas,30057.04,42938.63,0
119,8,11/27/2024,TT,2024,Gas,38914.68,55592.4,0
120,8,7/2/2022,Q8,2024,Hybrid,69838.65,99769.5,0
121,6,1/4/2024,Q5,2022,Gas,36239.62,51770.89,0
122,6,5/16/2022,e-tron GT,2022,Electric,85701.5,122430.72,0
123,9,2/27/2024,Q8,2022,Hybrid,61692.28,88131.83,0
124,9,3/25/2023,Q8 e-tron,2023,Electric,59270.62,84672.31,2084.82
125,3,10/17/2022,Q4 e-tron,2022,Electric,53012.74,75732.48,0
126,10,12/30/2023,Q5,2022,Gas,37243.33,53204.76,0
127,10,2/16/2024,RS5,2022,Gas,78197.34,111710.48,0
128,4,11/17/2022,A3,2022,Gas,38120.73,54458.18,0
129,2,6/13/2022,Q8,2023,Hybrid,67681.82,96688.31,0
130,8,7/27/2023,Q6 e-tron,2024,Electric,70905.28,101293.26,4666.85
131,4,3/12/2022,Q8,2024,Hybrid,51935.97,74194.25,4748.63
132,7,2/27/2022,Q8 e-tron,2024,Electric,59197.82,84568.32,0
133,4,2/3/2024,Q7,2024,Gas,54029.07,77184.39,3602.32
134,7,9/25/2022,e-tron GT,2024,Electric,90198.27,128854.67,0
135,9,9/4/2023,Q7,2022,Gas,50420.3,72029,0
136,7,10/28/2023,A3,2022,Gas,35749.77,51071.1,0
137,1,4/30/2022,RS5,2023,Gas,80722.24,115317.48,0
138,6,6/7/2024,Q8,2023,Hybrid,54080.69,77258.13,0
139,7,4/8/2022,Q5,2023,Gas,39233.5,56047.86,0
140,2,6/24/2024,A3,2022,Gas,47119.76,67313.95,0
141,6,5/28/2023,Q8,2022,Hybrid,66520.39,95029.13,0
142,2,11/21/2023,Q5,2024,Gas,40873.76,58391.08,0
143,1,10/16/2024,Q8 e-tron,2023,Electric,76468.38,109240.54,0
144,2,10/28/2024,Q4 e-tron,2024,Electric,52327.33,74753.33,0
145,2,3/12/2022,RS5,2022,Gas,63262.6,90375.15,0
146,5,12/25/2022,Q4 e-tron,2023,Electric,58950.77,84215.38,0
147,9,3/17/2024,Q4 e-tron,2022,Electric,59566.44,85094.91,0
148,6,4/13/2023,Q8 e-tron,2023,Electric,64063.87,91519.82,0
149,9,8/14/2023,Q7,2024,Gas,63742.52,91060.74,0
150,8,4/2/2023,RS5,2024,Gas,76078.02,108682.89,1871.77
151,4,9/11/2022,TT,2023,Gas,46732.1,66760.14,0
152,2,2/25/2023,Q7,2022,Gas,55431.37,79187.67,0
153,1,2/16/2024,Q4 e-tron,2022,Electric,58479.43,83542.05,3634.72
154,7,3/20/2024,Q5,2022,Gas,42602.13,60860.18,0
155,5,7/21/2023,Q7,2023,Gas,47659.88,68085.54,0
156,7,5/14/2024,RS5,2022,Gas,58139.68,83056.68,0
157,8,12/14/2022,TT,2024,Gas,45463.89,64948.41,0
158,10,1/23/2023,Q4 e-tron,2022,Electric,42567.62,60810.88,0
159,1,7/4/2024,e-tron GT,2024,Electric,88232.31,126046.16,0
160,5,3/14/2023,TT,2023,Gas,62322.64,89032.34,0
161,3,5/1/2024,RS5,2022,Gas,60791.57,86845.1,0
162,4,12/4/2023,Q8 e-tron,2022,Electric,61440.36,87771.94,0
163,9,1/25/2023,Q5,2023,Gas,36075.96,51537.09,0
164,7,11/14/2023,Q7,2022,Gas,59222.79,84603.99,0
165,10,8/27/2024,A4,2024,Gas,31799.33,45427.61,0
166,6,12/24/2024,A4,2022,Gas,47506.78,67866.83,0
167,5,8/3/2024,A3,2024,Gas,52484.36,74977.66,0
168,9,3/28/2022,Q4 e-tron,2022,Electric,44576.39,63680.56,0
169,1,4/12/2022,Q8,2024,Hybrid,78005.23,111436.04,0
170,7,8/27/2022,Q8,2023,Hybrid,72919.9,104171.29,0
171,6,9/2/2022,Q4 e-tron,2023,Electric,57926.83,82752.61,0
172,7,4/14/2023,TT,2023,Gas,42417.36,60596.23,0
173,3,9/16/2024,A4,2022,Gas,50777.19,72538.84,0
174,9,7/10/2024,A4,2022,Gas,34328.52,49040.74,0
175,1,11/9/2024,Q4 e-tron,2022,Electric,49836.88,71195.54,0
176,5,2/1/2022,A3,2023,Gas,45776.37,65394.81,0
177,4,11/10/2022,Q5,2024,Gas,42954.25,61363.21,0
178,3,7/19/2022,Q4 e-tron,2023,Electric,57064.62,81520.89,0
179,2,9/16/2022,A3,2022,Gas,45040.6,64343.71,0
180,7,12/2/2022,TT,2024,Gas,43895.13,62707.33,0
181,8,9/10/2022,Q8,2024,Hybrid,56222.64,80318.06,0
182,9,1/13/2022,Q5,2023,Gas,33008.07,47154.38,0
183,8,8/29/2022,Q8,2022,Hybrid,59029.75,84328.22,0
184,7,4/26/2023,Q7,2022,Gas,43404.23,62006.04,0
185,5,8/12/2024,Q8,2022,Hybrid,54126.05,77322.93,0
186,9,10/29/2024,Q8 e-tron,2023,Electric,61357.23,87653.18,0
187,3,4/9/2024,e-tron GT,2023,Electric,79043.33,112919.04,0
188,9,8/8/2022,Q7,2024,Gas,47774.12,68248.75,0
189,1,7/8/2024,A4,2022,Gas,53726.24,76751.77,0
190,8,11/23/2023,Q4 e-tron,2024,Electric,39186.59,55980.84,0
191,1,9/5/2023,Q7,2023,Gas,47350.49,67643.56,0
192,8,4/27/2022,A3,2022,Gas,45124.14,64463.05,0
193,6,2/27/2023,A4,2022,Gas,51567.73,73668.18,0
194,8,12/4/2024,Q5,2023,Gas,36673.86,52391.23,0
195,3,8/17/2023,RS5,2022,Gas,78986.12,112837.31,0
196,1,5/29/2024,e-tron GT,2024,Electric,91845.47,131207.82,0
197,5,3/15/2022,TT,2023,Gas,54689.39,78127.7,0
198,4,1/19/2023,RS5,2022,Gas,58418.82,83455.46,0
199,7,3/10/2022,Q6 e-tron,2023,Electric,84367.18,120524.54,0
200,1,2/10/2024,Q5,2022,Gas,38619.42,55170.6,0
201,8,12/20/2023,RS5,2022,Gas,73426.93,104895.61,0
202,3,7/20/2023,Q4 e-tron,2023,Electric,54481.47,77830.67,0
203,4,4/11/2024,Q5,2023,Gas,52416.41,74880.59,0
204,3,5/21/2024,Q7,2024,Gas,57325.84,81894.06,0
205,5,2/10/2023,A3,2024,Gas,48325.86,69036.94,0
206,2,6/21/2022,Q7,2024,Gas,47600.58,68000.83,4595.02
207,6,4/5/2024,Q7,2024,Gas,65121.57,93030.82,0
208,1,9/2/2022,Q6 e-tron,2024,Electric,69996.42,99994.88,0
209,8,6/17/2023,RS5,2024,Gas,62095.26,88707.52,0
210,10,11/22/2022,TT,2023,Gas,50380.16,71971.66,0
211,9,12/4/2024,Q4 e-tron,2022,Electric,47592.61,67989.45,0
212,8,11/1/2024,A4,2024,Gas,30909.4,44156.29,0
213,10,2/21/2023,e-tron GT,2023,Electric,96512.47,137874.96,0
214,3,5/11/2023,Q5,2023,Gas,35202.88,50289.83,0
215,6,12/16/2023,RS5,2022,Gas,60140.12,85914.46,0
216,2,9/11/2024,Q4 e-tron,2023,Electric,51547.57,73639.39,0
217,1,8/30/2023,A4,2024,Gas,47954.55,68506.5,0
218,1,5/25/2022,Q5,2024,Gas,35834.71,51192.44,0
219,8,3/21/2023,RS5,2024,Gas,67624.88,96606.97,0
220,10,2/12/2022,Q8,2024,Hybrid,57541.41,82202.01,0
221,3,1/3/2023,RS5,2023,Gas,58157.99,83082.84,0
222,7,1/6/2023,Q8,2023,Hybrid,78491.13,112130.19,0
223,2,8/21/2024,RS5,2024,Gas,61771.64,88245.2,0
224,7,3/18/2023,Q4 e-tron,2024,Electric,39824.22,56891.74,0
